time	open	high	low	close	tick_volume	spread	real_volume
2025.10.13 17:14	1.15655	1.15664	1.15641	1.15643	75	0	0
2025.10.13 17:15	1.15644	1.15650	1.15630	1.15636	88	0	0
2025.10.13 17:16	1.15637	1.15666	1.15633	1.15663	75	0	0
2025.10.13 17:17	1.15662	1.15677	1.15655	1.15659	84	0	0
2025.10.13 17:18	1.15659	1.15684	1.15650	1.15674	124	0	0
2025.10.13 17:19	1.15674	1.15675	1.15661	1.15672	71	0	0
2025.10.13 17:20	1.15672	1.15672	1.15645	1.15651	85	0	0
2025.10.13 17:21	1.15651	1.15656	1.15631	1.15635	90	0	0
2025.10.13 17:22	1.15635	1.15646	1.15635	1.15641	104	0	0
2025.10.13 17:23	1.15641	1.15652	1.15638	1.15650	117	0	0
2025.10.13 17:24	1.15650	1.15664	1.15646	1.15659	80	0	0
2025.10.13 17:25	1.15659	1.15662	1.15634	1.15644	114	0	0
2025.10.13 17:26	1.15645	1.15664	1.15641	1.15649	99	0	0
2025.10.13 17:27	1.15649	1.15649	1.15633	1.15640	54	0	0
2025.10.13 17:28	1.15640	1.15640	1.15617	1.15620	90	0	0
2025.10.13 17:29	1.15620	1.15626	1.15614	1.15617	60	1	0
2025.10.13 17:30	1.15617	1.15632	1.15614	1.15630	80	0	0
2025.10.13 17:31	1.15630	1.15638	1.15607	1.15614	53	0	0
2025.10.13 17:32	1.15614	1.15626	1.15613	1.15626	60	0	0
2025.10.13 17:33	1.15626	1.15627	1.15615	1.15621	58	1	0
2025.10.13 17:34	1.15621	1.15652	1.15620	1.15625	113	0	0
2025.10.13 17:35	1.15625	1.15636	1.15619	1.15631	89	0	0
2025.10.13 17:36	1.15631	1.15651	1.15629	1.15634	58	0	0
2025.10.13 17:37	1.15634	1.15635	1.15609	1.15618	73	0	0
2025.10.13 17:38	1.15618	1.15625	1.15608	1.15621	59	0	0
2025.10.13 17:39	1.15621	1.15636	1.15611	1.15636	61	0	0
2025.10.13 17:40	1.15635	1.15643	1.15615	1.15619	120	0	0
2025.10.13 17:41	1.15619	1.15630	1.15613	1.15621	70	0	0
2025.10.13 17:42	1.15621	1.15649	1.15620	1.15645	82	0	0
2025.10.13 17:43	1.15645	1.15646	1.15629	1.15640	58	0	0
2025.10.13 17:44	1.15640	1.15645	1.15636	1.15645	41	0	0
2025.10.13 17:45	1.15645	1.15655	1.15636	1.15638	59	0	0
2025.10.13 17:46	1.15638	1.15650	1.15637	1.15650	57	0	0
2025.10.13 17:47	1.15650	1.15652	1.15625	1.15625	112	0	0
2025.10.13 17:48	1.15625	1.15635	1.15623	1.15628	72	0	0
2025.10.13 17:49	1.15628	1.15654	1.15628	1.15654	90	0	0
2025.10.13 17:50	1.15654	1.15656	1.15638	1.15651	95	0	0
2025.10.13 17:51	1.15651	1.15651	1.15633	1.15634	48	0	0
2025.10.13 17:52	1.15634	1.15638	1.15624	1.15634	101	0	0
2025.10.13 17:53	1.15634	1.15640	1.15628	1.15635	75	0	0
2025.10.13 17:54	1.15635	1.15643	1.15609	1.15609	70	0	0
2025.10.13 17:55	1.15609	1.15609	1.15575	1.15593	115	0	0
2025.10.13 17:56	1.15593	1.15593	1.15575	1.15585	84	0	0
2025.10.13 17:57	1.15586	1.15603	1.15584	1.15595	114	0	0
2025.10.13 17:58	1.15594	1.15605	1.15593	1.15600	89	0	0
2025.10.13 17:59	1.15600	1.15615	1.15600	1.15612	92	0	0
2025.10.13 18:00	1.15612	1.15620	1.15611	1.15617	125	0	0
2025.10.13 18:01	1.15617	1.15630	1.15617	1.15627	112	0	0
2025.10.13 18:02	1.15626	1.15665	1.15625	1.15665	110	0	0
2025.10.13 18:03	1.15665	1.15676	1.15659	1.15675	104	0	0
2025.10.13 18:04	1.15675	1.15675	1.15664	1.15666	81	0	0
2025.10.13 18:05	1.15666	1.15666	1.15643	1.15654	119	0	0
2025.10.13 18:06	1.15654	1.15661	1.15635	1.15641	91	0	0
2025.10.13 18:07	1.15640	1.15644	1.15634	1.15635	80	0	0
2025.10.13 18:08	1.15634	1.15635	1.15614	1.15614	103	0	0
2025.10.13 18:09	1.15614	1.15627	1.15610	1.15624	98	0	0
2025.10.13 18:10	1.15624	1.15624	1.15609	1.15618	80	0	0
2025.10.13 18:11	1.15618	1.15635	1.15600	1.15635	76	0	0
2025.10.13 18:12	1.15635	1.15654	1.15627	1.15654	45	0	0
2025.10.13 18:13	1.15654	1.15659	1.15648	1.15655	40	0	0
2025.10.13 18:14	1.15655	1.15669	1.15645	1.15669	64	0	0
2025.10.13 18:15	1.15669	1.15683	1.15668	1.15674	70	1	0
2025.10.13 18:16	1.15675	1.15689	1.15675	1.15684	47	1	0
2025.10.13 18:17	1.15684	1.15686	1.15664	1.15682	74	0	0
2025.10.13 18:18	1.15682	1.15698	1.15682	1.15694	80	0	0
2025.10.13 18:19	1.15694	1.15695	1.15682	1.15692	44	0	0
2025.10.13 18:20	1.15694	1.15694	1.15678	1.15683	55	1	0
2025.10.13 18:21	1.15683	1.15695	1.15678	1.15689	45	0	0
2025.10.13 18:22	1.15689	1.15694	1.15684	1.15686	44	0	0
2025.10.13 18:23	1.15686	1.15692	1.15681	1.15691	68	0	0
2025.10.13 18:24	1.15691	1.15711	1.15691	1.15699	42	0	0
2025.10.13 18:25	1.15699	1.15709	1.15693	1.15694	50	0	0
2025.10.13 18:26	1.15694	1.15713	1.15689	1.15704	62	0	0
2025.10.13 18:27	1.15703	1.15704	1.15689	1.15693	41	0	0
2025.10.13 18:28	1.15694	1.15694	1.15674	1.15679	62	0	0
2025.10.13 18:29	1.15679	1.15687	1.15677	1.15678	30	0	0
2025.10.13 18:30	1.15678	1.15680	1.15667	1.15676	70	0	0
2025.10.13 18:31	1.15677	1.15701	1.15677	1.15700	43	0	0
2025.10.13 18:32	1.15701	1.15701	1.15689	1.15689	40	0	0
2025.10.13 18:33	1.15689	1.15694	1.15684	1.15693	61	0	0
2025.10.13 18:34	1.15693	1.15698	1.15683	1.15691	52	0	0
2025.10.13 18:35	1.15691	1.15722	1.15691	1.15721	75	0	0
2025.10.13 18:36	1.15725	1.15725	1.15710	1.15710	37	0	0
2025.10.13 18:37	1.15710	1.15712	1.15706	1.15710	26	0	0
2025.10.13 18:38	1.15709	1.15723	1.15708	1.15721	25	0	0
2025.10.13 18:39	1.15721	1.15721	1.15697	1.15699	38	0	0
2025.10.13 18:40	1.15700	1.15700	1.15683	1.15693	39	0	0
2025.10.13 18:41	1.15693	1.15709	1.15692	1.15703	34	0	0
2025.10.13 18:42	1.15703	1.15704	1.15697	1.15698	18	0	0
2025.10.13 18:43	1.15698	1.15707	1.15692	1.15698	53	0	0
2025.10.13 18:44	1.15698	1.15709	1.15698	1.15709	51	1	0
2025.10.13 18:45	1.15708	1.15719	1.15706	1.15708	50	0	0
2025.10.13 18:46	1.15708	1.15724	1.15704	1.15723	32	0	0
2025.10.13 18:47	1.15723	1.15740	1.15719	1.15734	54	0	0
2025.10.13 18:48	1.15735	1.15739	1.15732	1.15734	23	0	0
2025.10.13 18:49	1.15734	1.15734	1.15721	1.15725	46	0	0
2025.10.13 18:50	1.15725	1.15734	1.15724	1.15726	46	0	0
2025.10.13 18:51	1.15726	1.15730	1.15719	1.15730	40	0	0
2025.10.13 18:52	1.15730	1.15734	1.15729	1.15733	32	1	0
2025.10.13 18:53	1.15733	1.15736	1.15727	1.15729	57	0	0
2025.10.13 18:54	1.15729	1.15736	1.15729	1.15733	23	0	0
2025.10.13 18:55	1.15733	1.15745	1.15731	1.15742	38	1	0
2025.10.13 18:56	1.15743	1.15754	1.15742	1.15751	62	0	0
2025.10.13 18:57	1.15751	1.15751	1.15740	1.15744	62	0	0
2025.10.13 18:58	1.15744	1.15750	1.15738	1.15741	49	1	0
2025.10.13 18:59	1.15741	1.15742	1.15735	1.15738	56	1	0
2025.10.13 19:00	1.15738	1.15752	1.15738	1.15744	63	0	0
2025.10.13 19:01	1.15746	1.15752	1.15744	1.15751	45	0	0
2025.10.13 19:02	1.15751	1.15755	1.15742	1.15745	43	0	0
2025.10.13 19:03	1.15745	1.15755	1.15744	1.15754	40	0	0
2025.10.13 19:04	1.15753	1.15757	1.15746	1.15752	49	0	0
2025.10.13 19:05	1.15752	1.15762	1.15749	1.15749	52	0	0
2025.10.13 19:06	1.15749	1.15760	1.15738	1.15760	51	0	0
2025.10.13 19:07	1.15759	1.15764	1.15754	1.15757	35	0	0
2025.10.13 19:08	1.15757	1.15764	1.15753	1.15754	32	1	0
2025.10.13 19:09	1.15754	1.15759	1.15752	1.15755	20	0	0
2025.10.13 19:10	1.15755	1.15763	1.15755	1.15763	18	0	0
2025.10.13 19:11	1.15763	1.15765	1.15756	1.15760	16	0	0
2025.10.13 19:12	1.15760	1.15763	1.15758	1.15761	43	0	0
2025.10.13 19:13	1.15762	1.15769	1.15761	1.15762	32	0	0
2025.10.13 19:14	1.15762	1.15762	1.15748	1.15750	37	0	0
2025.10.13 19:15	1.15750	1.15765	1.15750	1.15758	49	0	0
2025.10.13 19:16	1.15758	1.15760	1.15748	1.15749	31	0	0
2025.10.13 19:17	1.15749	1.15753	1.15747	1.15750	17	0	0
2025.10.13 19:18	1.15750	1.15753	1.15748	1.15751	14	0	0
2025.10.13 19:19	1.15751	1.15753	1.15748	1.15748	17	0	0
2025.10.13 19:20	1.15748	1.15748	1.15733	1.15738	34	0	0
2025.10.13 19:21	1.15738	1.15738	1.15727	1.15727	34	0	0
2025.10.13 19:22	1.15724	1.15742	1.15714	1.15738	69	0	0
2025.10.13 19:23	1.15738	1.15754	1.15737	1.15754	39	0	0
2025.10.13 19:24	1.15753	1.15792	1.15749	1.15773	118	0	0
2025.10.13 19:25	1.15773	1.15773	1.15746	1.15747	47	0	0
2025.10.13 19:26	1.15747	1.15753	1.15742	1.15747	45	0	0
2025.10.13 19:27	1.15747	1.15765	1.15746	1.15764	38	0	0
2025.10.13 19:28	1.15764	1.15764	1.15752	1.15762	35	0	0
2025.10.13 19:29	1.15762	1.15762	1.15744	1.15748	37	0	0
2025.10.13 19:30	1.15748	1.15749	1.15741	1.15743	26	0	0
2025.10.13 19:31	1.15743	1.15751	1.15730	1.15733	35	0	0
2025.10.13 19:32	1.15732	1.15737	1.15718	1.15737	39	0	0
2025.10.13 19:33	1.15736	1.15736	1.15727	1.15728	9	0	0
2025.10.13 19:34	1.15728	1.15728	1.15709	1.15712	41	0	0
2025.10.13 19:35	1.15713	1.15713	1.15705	1.15708	31	0	0
2025.10.13 19:36	1.15708	1.15711	1.15698	1.15699	44	0	0
2025.10.13 19:37	1.15699	1.15710	1.15697	1.15698	38	0	0
2025.10.13 19:38	1.15698	1.15708	1.15696	1.15705	29	0	0
2025.10.13 19:39	1.15705	1.15705	1.15698	1.15701	27	0	0
2025.10.13 19:40	1.15701	1.15707	1.15700	1.15703	16	0	0
2025.10.13 19:41	1.15703	1.15705	1.15698	1.15704	16	0	0
2025.10.13 19:42	1.15704	1.15709	1.15703	1.15707	12	1	0
2025.10.13 19:43	1.15707	1.15722	1.15707	1.15720	41	0	0
2025.10.13 19:44	1.15720	1.15724	1.15711	1.15717	44	0	0
2025.10.13 19:45	1.15717	1.15735	1.15713	1.15728	34	0	0
2025.10.13 19:46	1.15728	1.15739	1.15728	1.15736	33	0	0
2025.10.13 19:47	1.15735	1.15744	1.15734	1.15740	30	0	0
2025.10.13 19:48	1.15740	1.15752	1.15740	1.15749	30	0	0
2025.10.13 19:49	1.15749	1.15754	1.15749	1.15754	37	0	0
2025.10.13 19:50	1.15754	1.15754	1.15743	1.15752	36	1	0
2025.10.13 19:51	1.15751	1.15770	1.15750	1.15762	59	1	0
2025.10.13 19:52	1.15762	1.15762	1.15751	1.15752	23	0	0
2025.10.13 19:53	1.15752	1.15753	1.15739	1.15739	28	0	0
2025.10.13 19:54	1.15739	1.15742	1.15731	1.15733	15	0	0
2025.10.13 19:55	1.15733	1.15749	1.15731	1.15749	39	0	0
2025.10.13 19:56	1.15749	1.15749	1.15740	1.15742	31	0	0
2025.10.13 19:57	1.15742	1.15744	1.15738	1.15741	36	0	0
2025.10.13 19:58	1.15741	1.15744	1.15734	1.15744	46	0	0
2025.10.13 19:59	1.15744	1.15756	1.15743	1.15754	68	0	0
2025.10.13 20:00	1.15754	1.15759	1.15749	1.15759	33	0	0
2025.10.13 20:01	1.15759	1.15770	1.15759	1.15769	27	1	0
2025.10.13 20:02	1.15769	1.15771	1.15747	1.15753	98	0	0
2025.10.13 20:03	1.15751	1.15758	1.15748	1.15754	27	1	0
2025.10.13 20:04	1.15754	1.15754	1.15753	1.15753	6	1	0
2025.10.13 20:05	1.15753	1.15756	1.15748	1.15748	21	0	0
2025.10.13 20:06	1.15748	1.15759	1.15748	1.15758	21	0	0
2025.10.13 20:07	1.15759	1.15761	1.15756	1.15756	6	0	0
2025.10.13 20:08	1.15756	1.15760	1.15735	1.15737	29	0	0
2025.10.13 20:09	1.15737	1.15745	1.15737	1.15745	22	1	0
2025.10.13 20:10	1.15745	1.15745	1.15738	1.15743	24	0	0
2025.10.13 20:11	1.15743	1.15743	1.15733	1.15735	23	0	0
2025.10.13 20:12	1.15735	1.15743	1.15733	1.15736	38	0	0
2025.10.13 20:13	1.15737	1.15749	1.15737	1.15749	22	1	0
2025.10.13 20:14	1.15749	1.15754	1.15745	1.15753	60	0	0
2025.10.13 20:15	1.15753	1.15757	1.15743	1.15757	27	0	0
2025.10.13 20:16	1.15757	1.15757	1.15744	1.15747	19	1	0
2025.10.13 20:17	1.15747	1.15756	1.15747	1.15754	21	0	0
2025.10.13 20:18	1.15754	1.15754	1.15747	1.15750	26	0	0
2025.10.13 20:19	1.15750	1.15753	1.15742	1.15753	22	1	0
2025.10.13 20:20	1.15753	1.15758	1.15748	1.15750	17	0	0
2025.10.13 20:21	1.15751	1.15757	1.15750	1.15753	11	1	0
2025.10.13 20:22	1.15753	1.15754	1.15752	1.15753	5	1	0
2025.10.13 20:23	1.15753	1.15759	1.15752	1.15755	13	0	0
2025.10.13 20:24	1.15755	1.15755	1.15744	1.15745	13	0	0
2025.10.13 20:25	1.15745	1.15745	1.15740	1.15743	21	1	0
2025.10.13 20:26	1.15743	1.15749	1.15743	1.15748	19	0	0
2025.10.13 20:27	1.15748	1.15760	1.15748	1.15760	20	1	0
2025.10.13 20:28	1.15760	1.15768	1.15758	1.15763	31	0	0
2025.10.13 20:29	1.15763	1.15763	1.15755	1.15756	21	0	0
2025.10.13 20:30	1.15758	1.15759	1.15749	1.15751	14	0	0
2025.10.13 20:31	1.15751	1.15751	1.15745	1.15748	23	1	0
2025.10.13 20:32	1.15748	1.15755	1.15748	1.15750	10	0	0
2025.10.13 20:33	1.15750	1.15753	1.15749	1.15753	6	1	0
